전시장명,참고,위도,경도,사이트주소,운영시간,운영시간,무료주차여부,유료주차여부,휠체어,장애인화장실여부,안내견동반가능여부,점자,오디어해설
FCLTY_NM,CTGRY_ONE_NM,LC_LA,LC_LO,HMPG_URL,RSTDE_GUID_CN,OPER_TIME,FRE_PARKNG_AT,CHGD_PARKNG_AT,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT
4.19국립묘지4.19기념관,전시/공연,37.64839067,127.009071,www.mpva.go.kr/419/index.do,국ㆍ공휴일,월~금요일 근무일 09:00~17:00,Y,N,Y,Y,Y,Y,Y
4.19혁명기념회관,전시/공연,37.56744493,126.967694,,매주 일요일,월~토 08:00~22:00,Y,N,Y,Y,Y,Y,Y
40계단거리,문화관광/명소,35.10338417,129.035636,,,,N,N,N,N,Y,N,N
40계단문화관,전시/공연,35.10500721,129.03448,www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000208001001000&link=success&cpath=%2Ftour,매주 월요일,"평일(화~금) 10:00 ~ 18:00
토요일/일요일 10:00 ~ 17:00",Y,N,N,N,Y,N,N
4차산업혁명체험센터,전시/공연,37.55467447,127.04049,sdfic.sd.go.kr/,"매주 토,일",09:00-18:00,Y,N,Y,Y,Y,Y,Y
4D무비카광주지사,문화관광/명소,37.42818857,127.237393,,,,N,N,N,N,N,N,N
4EST수목원,문화관광/명소,34.45491283,126.596928,www.4est수목원.com/,,매일 09:00 - 19:00 동절기 9:00~17:00,N,N,N,N,N,N,N
5.18기념공원,레저/체육/공원,35.15574851,126.858584,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter59,,,Y,N,N,N,Y,N,N
5.18기념문화센터,전시/공연,35.15830536,126.857556,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,연중무휴,07:00~22:00,Y,N,Y,Y,Y,N,N
5.18기념문화회관민주홀,전시/공연,35.15830536,126.857556,www.gwangju.go.kr/518/contentsView.do?pageId=maycenter35,연중무휴,07:00~22:00,Y,N,Y,Y,Y,N,N
5.18민주화운동기록관,전시/공연,35.14956323,126.916756,518archives.go.kr/,"월요일, 공휴일, 월요일이 공휴일이면 다음날",09:00~18:00,Y,Y,Y,Y,N,Y,N
5.18역사문화기록관,전시/공연,35.14835809,126.91873,www.gwangju.go.kr/jeonil/,"1월1일, 설날, 추석 휴무",09:00 - 19:00,Y,N,N,N,N,N,N
55아트센터,전시/공연,34.87622164,126.517796,,,,N,N,N,N,N,N,N
5월5일공방,전시/공연,37.67271123,126.700633,,,,N,N,N,N,N,N,N
6.25전쟁납북자기념관,전시/공연,37.88897896,126.743209,www.abductions625.go.kr/index.do,"매주 월요일, 주중 공휴일, 설ㆍ추석연휴(당일 개관)","3월 ~ 10월 : 09:30 - 17:30 (17:00분 입장 마감)
11월 ~ 2월 : 10:00 - 17:00 (16:30분 입장 마감)",Y,N,Y,Y,N,Y,Y
6.25전쟁체험전시관,전시/공연,38.58407952,128.373679,,연중무휴,"매일 09:00 - 16:20 봄, 가을 
매일 09:00 - 17:30 여름 
매일 09:00 - 15:50 겨울 ",N,Y,Y,Y,Y,N,N
63빌딩63스카이아트미술관,전시/공연,37.51966416,126.939909,www.63art.co.kr/home/63ART/main.do,무휴,10:00-20:0,N,Y,Y,Y,Y,Y,Y
63빌딩한화아쿠아플라넷,문화관광/명소,37.51966416,126.939909,www.aquaplanet.co.kr/index.do,,10:00 ~ 19:00 (입장마감 18:30),Y,Y,Y,Y,N,N,N
6전단항공역사관,전시/공연,35.99470352,129.412613,,,"매일
08:30 - 18:00",N,N,N,N,N,N,N
777레지던스,전시/공연,37.72426086,126.948172,www.yangju.go.kr/changucchin/contents.do?key=2019,매주 월요일,10:00 - 18:00,Y,N,N,N,Y,N,N
77수족관,문화관광/명소,36.02960372,129.367037,,,,N,N,N,N,N,N,N
7PICTURES,전시/공연,37.56566354,126.927005,,,,N,N,N,N,N,N,N
88CC,레저/체육/공원,37.30673267,127.160462,www.88countryclub.co.kr/,,,Y,N,N,N,N,N,N
9.81파크,문화관광/명소,33.39003694,126.366509,www.981park.com,,,Y,N,N,Y,N,N,N
93뮤지엄,전시/공연,37.78979276,126.696331,www.galleryfocus.co.kr/,매주 월요일,"동절기 09:00-17:00
하절기 09:00-18:00",Y,N,N,N,N,N,N
가경골프랜드,레저/체육/공원,36.62599603,127.435186,,,,Y,N,N,N,N,N,N
가계해수욕장,문화관광/명소,34.44637135,126.351805,,,,N,N,N,N,Y,N,N
가나1아뜰리에,전시/공연,37.72666259,126.950087,www.jhatelier.com/,매월 둘째주 금요일 제외하고 휴무,10:00 - 20:00,Y,N,N,N,Y,N,N
가나미디어,전시/공연,37.57292514,127.00162,canaav.co.kr/skin_mw2/,,,N,N,N,N,N,N,N
가나아트,전시/공연,37.57499572,126.983939,www.galleryinsaart.com/,매주 화요일,평일 10:00 - 19:00,N,N,N,N,Y,N,N
가나아트,전시/공연,37.61224471,126.975182,www.ganaart.com/,,매일 10:00~19:00,Y,N,N,N,N,N,N
가나아트파크,전시/공연,37.72583554,126.949332,"www.artpark.co.kr
","매주 월요일 휴무(공휴일 제외)
월요일이 공휴일인 경우 익일 ","주말 및 공휴일
11월~4월 10:00 ~ 18:00 (입장마감 17:00)
5월~10월 10:00 ~19:00 (입장마감 18:00)
평일
10:30 ~ 18:00 (입장마감 17:00)",Y,N,Y,Y,Y,N,Y
가나엔터프라이즈,전시/공연,35.15071637,126.83543,gana2.com/,연중무휴,"매일
00:00 - 24:00
",Y,N,N,N,N,N,N
가는게해수욕장,문화관광/명소,34.68778767,125.929008,,,,N,N,N,N,N,N,N
가든골프,레저/체육/공원,37.30998467,127.91612,,,,Y,N,N,N,N,N,N
가든스테이지,전시/공연,35.19606181,129.213207, www.lotteworld.com,연중무휴,,N,Y,Y,Y,Y,Y,N
가람누리문화공원,레저/체육/공원,38.07855269,127.213971,,,,Y,N,N,Y,Y,N,N
가람리조트사계절썰매장,레저/체육/공원,37.83640294,128.018378,garamvalley.co.kr/,,"토,일 10:30-16:30 
12:00-00-15:00 휴게시간
주중: 일반이용객 최소인원 10人 이상시 운영(사전문의)",Y,N,N,N,N,N,N
가람문학관,전시/공연,36.03531462,127.084481,,평일 월요일 / 새해 / 설날 / 한가위,09:00~18:00,Y,N,N,Y,N,N,N
가람신작,전시/공연,36.63659967,127.493922,www.cbfc.or.kr/home/main.php,,,N,N,N,N,N,N,N
가람아트홀,전시/공연,35.12771884,129.092786,garamarthall.modoo.at/,공연일정에따라 유동적,공연일정에따라 유동적,Y,N,N,N,N,N,N
가람유원지,문화관광/명소,37.96499735,127.432902,kbs1.kr/h/garampsywj/mobile/index.htmm,,,Y,N,N,N,Y,N,N
가람화랑,전시/공연,37.57428279,126.985614,,,,N,N,N,N,Y,N,N
가리산자연휴양림,문화관광/명소,37.86589954,127.998813,www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030002,,,N,Y,N,N,N,N,N
가리역터,문화관광/명소,35.13223646,126.493184,,,,N,N,N,N,N,N,N
가마골소극장,전시/공연,35.18835625,129.076123,kamagol.modoo.at/,"매주 월요일,공휴일에도 공연이있으면 개장함",09:00-22:00,Y,N,N,N,N,N,N
가마기산성,문화관광/명소,36.73478576,127.575417,,,,N,N,N,N,Y,N,N
가마미해수욕장,문화관광/명소,35.40356865,126.415154,,,,N,N,N,N,N,N,N
가마섬,문화관광/명소,37.18829938,127.684176,,,,N,N,N,N,N,N,N
가마터갤러리,전시/공연,37.60429952,127.393174,,,,N,N,N,N,N,N,N
가마해안도로,문화관광/명소,33.30450761,126.810597,,,,N,N,N,N,Y,N,N
가막유원지,문화관광/명소,35.806548,127.515969,,,,N,N,N,N,N,N,N
가배량성,문화관광/명소,34.78167689,128.571558,www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=2333801100000,연중무휴,상시개방,N,N,N,N,Y,N,N
가사동백숲해변,문화관광/명소,34.41311053,126.952414,,,,Y,N,N,N,Y,N,N
가산골프,레저/체육/공원,36.1014487,128.511674,,연중무휴,매일 07:30-20:00,Y,N,N,N,N,N,N
가산골프랜드,레저/체육/공원,35.33280206,126.947587,,,06:00 - 20:00,Y,N,N,N,N,N,N
가산박물관,전시/공연,36.40466701,127.621897,,,"평일 관람시간
09:00~18:00
공휴일 관람시간
09:00~18:00",N,N,N,N,N,N,N
가산산성,문화관광/명소,36.03477653,128.583024,www.heritage.go.kr/heri/cul/culSelectDetail.do?searchCondition=&searchCondition2=&ccbaKdcd=13&ccbaAsno=02160000&ccbaCtcd=37&ccbaCpno=1333702160000&ccbaGcode=CA&ccbaBcode=03&ccbaMcode=02&culPageNo=6&header=div&returnUrl=%2Fheri%2Fcul%2FculSelectDivList.do&pageNo=1_1_3_0,연중무휴,상시개방,Y,N,N,N,Y,N,N
가산산성대궐터,문화관광/명소,35.54748329,128.508108,,,,N,N,N,N,Y,N,N
가산수변공원,레저/체육/공원,35.29501228,129.017836,www.yssisul.or.kr/stms/ys/info,연중무휴,상시개방,Y,N,N,Y,Y,N,N
가산오광대전수교육관,전시/공연,35.08460555,128.040264,,,,N,N,N,N,N,N,N
가산팜스테이,문화관광/명소,35.13022653,126.676577,,,,N,N,N,N,N,N,N
가산화랑,전시/공연,37.34355388,127.127438,,,,N,N,N,N,N,N,N
가섭산테마공원(2023년1월예정),문화관광/명소,36.9596435,127.705664,,,,N,N,N,N,N,N,N
가세해수욕장,문화관광/명소,37.53260054,129.097327,,,,N,N,N,N,N,N,N
가스펠재즈,전시/공연,37.49998194,127.039705,,,,Y,N,N,N,Y,N,N
가슴,전시/공연,37.78890931,126.695294,,,,N,N,N,N,N,N,N
가시리문화센터,전시/공연,33.35360912,126.770882,seogwipo.grandculture.net/seogwipo/search/GC04601333?keyword=%EA%B0%80%EC%8B%9C%EB%A6%AC&page=1,,,Y,N,N,N,N,N,N
가시리창작지원센터,전시/공연,33.35275982,126.765437,,,,N,N,N,N,N,N,N
가시창작소,전시/공연,37.78106403,126.713987,,,,N,N,N,N,N,N,N
가야공원유원지,문화관광/명소,35.14609828,129.028145,,,,N,N,N,N,N,N,N
가야극장,전시/공연,37.56497574,126.959222,,,,N,N,N,N,N,N,N
가야랜드,문화관광/명소,35.25817158,128.902435,gaya-land.com/,연중무휴,"매일
10:00 - 18:00
- (입장마감 17:30)
",Y,N,N,Y,Y,N,N
가야랜드눈썰매장,레저/체육/공원,35.25817158,128.902435,www.gaya-land.com/schedule/index.php,연중무휴,"월~금 10:00 ~ 17:30, 토,일 10:00 ~ 18:00",N,N,N,N,N,N,N
가야박물관,전시/공연,35.83676137,128.54342,,,,Y,N,N,N,N,N,N
가야산국립공원,레저/체육/공원,35.80263958,128.096881,www.knps.or.kr/front/portal/visit/visitCourseMain.do?parkId=120700&menuNo=7020084,"공원별 계절별 산불조심기간 중 입산 통제, 기간은 홈페이지 참조","계절별 탐방로별 입장 및 통제시간 상이, 시간은 홈페이지 참조",Y,N,Y,Y,Y,Y,Y
가야역사문화센터(2023년9월예정),전시/공연,35.17929234,128.798741,,,,N,N,N,N,N,N,N
가야퍼블릭CC,레저/체육/공원,35.27066419,128.892224,www.gayacc.com/,없음,예약에 따라 운영,Y,N,N,N,N,N,N
가얏고체험관,문화관광/명소,35.7417615,128.260928,,,,N,N,N,N,N,N,N
가양레포츠센터축구장,레저/체육/공원,37.55996013,126.86556,sports.seoul.go.kr/main/facilities/facilities_view.do?&ft_idx=764,공휴일,주중 :09:00~22:00/주말 :주말 06:00~22:00,Y,N,N,Y,Y,Y,N
가야CC,레저/체육/공원,35.28114514,128.895838,www.gayacc.com/main_new.php,없음,예약에 따라 운영,Y,N,N,N,N,N,N
가온스테이지,전시/공연,37.5531083,126.917526,,,24시간 운영,N,N,N,N,Y,N,N
가온아트홀,전시/공연,35.13820831,129.064915,cafe.naver.com/0514426500,연중무휴, 10:00-22:00,N,Y,N,N,Y,N,N
가원미술관,전시/공연,37.42397285,126.999203,,,,Y,N,N,N,Y,N,N
가은역꼬마열차,문화관광/명소,36.64952139,128.060485,www.mgtpcr.or.kr/web/index.do,매주 월요일,매일 09:00 - 18:00,Y,N,N,Y,Y,Y,N
가음아트홀,전시/공연,35.209418,128.688789,,,,Y,N,N,N,Y,N,N
가의암,문화관광/명소,35.95671665,127.760964,,,,N,N,N,N,Y,N,N
가이아갤러리,전시/공연,37.5751462,126.983386,www.galerie-gaia.net/,가급적 방문시 미리 연락,"월-토 10:00 - 18:00, 일 11:00 - 17:00",N,N,N,N,Y,N,N
가일미술관,전시/공연,37.66041649,127.379434,www.gailart.org/,"매주 월요일, 명절 연휴","하절기 10:00 - 19:00, 동절기 10:00 - 18:00",Y,N,N,N,Y,N,N
가족농원유원지,문화관광/명소,37.85181598,127.379368,,,,Y,N,N,N,Y,N,Y
가족사랑전람,전시/공연,37.59166254,127.014818,,,,N,N,N,N,N,N,N
가좌골프스쿨,레저/체육/공원,37.49572958,126.686057,,연중무휴,예약제,Y,N,N,N,N,N,N
가좌배드민턴경기장,레저/체육/공원,37.68619822,126.721681,cafe.daum.net/bdmtgg,,,N,N,N,N,N,N,N
가지산도립공원,레저/체육/공원,35.61743497,128.980784,encykorea.aks.ac.kr/Contents/Item/E0000365,연중무휴,24시개방,N,Y,N,Y,Y,N,Y
가진해수욕장,문화관광/명소,38.36604776,128.496529,www.gwgs.go.kr/prog/tursmCn/tour/sub02_02/view.do?cntno=61,,"매년 하절기 7 ~ 8월
일반해변 -> 06:00~24:00 / 마을관리해변 -> 06:00~22:00",N,N,N,N,Y,N,N
가천박물관,전시/공연,37.41847997,126.657603,gcmuseum.org,"월
정기휴무 (매주 월요일),1월 1일. 설날 및 추석연휴","목
09:00 - 17:00
금
09:00 - 17:00
토
09:00 - 17:00
일
09:00 - 17:00
화
09:00 - 17:00
수
09:00 - 17:00",Y,N,N,N,N,Y,Y
가코마린,레저/체육/공원,37.60948977,126.784052,,,"주중 09:00 - 18:00
주말 ",N,N,N,N,N,N,N
가톨릭갤러리현,전시/공연,35.1502428,126.86849,www.kccei.com/,,,Y,N,N,N,Y,N,N
가톨릭관동대학교강릉캠퍼스박물관,전시/공연,37.73732878,128.873705,museum.cku.ac.kr/,"매주 토,일",평일 09:00~17:00,Y,N,N,N,N,N,Y
가톨릭대학교박물관,전시/공연,37.58490098,127.004771,museum.catholic.ac.kr/site/museum/sub.do?Key=154,국정공휴일은 ,"월~금 10:00~12:40, 14:10~17:00",N,Y,N,Y,Y,N,N
가톨릭목포성지역사박물관,전시/공연,34.80058309,126.385437,,"월요일
공휴일",화~일 10:00 ~ 17:00,Y,N,N,N,N,N,N
가톨릭문화관,전시/공연,35.85131973,128.590969,,,,N,N,N,N,N,N,N
가톨릭문화원,전시/공연,35.20830896,128.577321,,"매주 토,일",08:30~17:30,Y,N,N,Y,Y,N,N
가톨릭소극장,전시/공연,35.10435395,129.028573,www.bccenter.or.kr/,주말,평일 09:00~17:00,N,Y,N,Y,Y,Y,N
가톨릭영상체험캠프,문화관광/명소,37.40783152,127.748203,,,,Y,N,N,N,N,N,N
가평공설운동장,레저/체육/공원,37.82543108,127.506125,www.gpfmc.or.kr/sub3/sub3_2-1.php,,"조기	06:00 ~ 09:00	
주간	09:00 ~ 18:00	
야간	18:00 ~ 22:00",Y,N,N,N,Y,Y,N
가평군목공예영농조합전시관,전시/공연,37.8158679,127.498129,,연중무휴,09:00 ~ 18:00,N,Y,N,N,N,N,N
가평레일파크,문화관광/명소,37.82897059,127.515854,www.railpark.co.kr/,,"09:00 - 17:00
12:20 - 13:30 휴게시간
- 설날, 추석 당일 14:00운영시작",Y,N,N,N,Y,N,N
가평리틀야구장,레저/체육/공원,37.8246218,127.504414,www.gpfmc.or.kr/sub3/sub3_10-4.php,,"조기	06:00 ~ 09:00	
주간	09:00 ~ 18:00	
야간	18:00 ~ 22:00",Y,N,N,N,Y,Y,N
가평무브베이스볼파크,레저/체육/공원,37.67733452,127.483826,,,"조기	06:00 ~ 09:00	
주간	09:00 ~ 18:00	
야간	18:00 ~ 22:00",Y,N,N,N,Y,N,N
가평문화창작공간,전시/공연,37.82188739,127.506334,,공연에 따라 다름,공연에 따라 다름,Y,N,N,N,Y,N,N
가평미술관,전시/공연,37.7869614,127.45473,,,,N,N,N,N,N,N,N
가평베네스트GC,레저/체육/공원,37.7971308,127.305446,www.golfsamsung.com/,,,Y,N,N,N,N,N,N
가평별빛누리글램핑,문화관광/명소,37.75386146,127.4064,booking.naver.com/booking/3/bizes/374186?area=bmp,,입실 15:00퇴실 11:00,Y,N,N,N,Y,N,Y
가평수목원,문화관광/명소,37.78376769,127.322918,,,,N,N,N,N,N,N,N
가평썰매장,레저/체육/공원,37.75548501,127.402402,www.gp4s.co.kr/,"매달 1번째 수, 목요일 정기 휴무",10:00~17:00,Y,N,N,N,N,N,N
가평종합운동장,전시/공연,37.82543108,127.506125,www.gpfmc.or.kr/sub3/sub3_2-1.php,,,Y,N,N,N,Y,Y,Y
가평탑랜드번지점프대,레저/체육/공원,37.80604214,127.526029,,,,N,N,N,N,N,N,N
가평현암농경유물박물관,전시/공연,37.87934605,127.548121,jat.invil.org/index.html?menuno=2194&lnb=40101,매주 일요일 및 공휴일 휴무,"오전10시~오후5시
(토요일 오전10시 ~ 오후1시)	",Y,N,N,N,N,N,Y
가회민화박물관,전시/공연,37.58150935,126.985229,www.gahoemuseum.org/new/,매주 월요일,화요일~일요일 10:00~18:000,N,N,N,N,N,N,N
각산산성,문화관광/명소,34.94417761,128.05344,www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaCpno=3413800950000&pageNo=1_1_1_0,연중무휴,상시개방,N,N,N,N,Y,N,N
각산재,문화관광/명소,35.60856825,128.841207,,,,N,N,N,N,N,N,N
간동종합운동장,레저/체육/공원,38.05713589,127.800795,jblifesports.or.kr/facility/facility_search_view.asp?searchOption=%EC%8B%9C%EC%84%A4%EA%B2%80%EC%83%89&searchStr=%EC%9E%A5%EC%88%98%EC%9E%94%EB%94%94%EA%B5%AC%EC%9E%A5&facility_id=F2012101800778,,,N,N,N,N,N,N,N
간동종합운동장축구장,레저/체육/공원,38.05713589,127.800795,,,,N,N,N,N,N,N,N
간동종합운동장풋살장,레저/체육/공원,38.05716262,127.801432,,,,N,N,N,N,N,N,N
간드락게스트하우스,전시/공연,33.48528887,126.543974,,매주 월요일,매일 10:00 - 06:00,Y,N,N,N,N,N,N
간송미술관,전시/공연,37.59446244,126.996239,kansong.org/,,10:00-18:00,N,N,N,N,N,N,N
간송미술관,전시/공연,37.56804459,127.01089,kansong.org/museum/,"매주 토요일 일요일, 연휴",10:00 - 18:00,N,Y,Y,Y,Y,Y,Y
간송박물관,전시/공연,37.59446244,126.996239,kansong.org/,토 정기휴무 (매주 토요일) 일 정기휴무 (매주 일요일),"수 10:00 - 18:00
목 10:00 - 18:00
금 10:00 - 18:00
월 10:00 - 18:00
화 10:00 - 18:00",N,N,N,N,N,N,N
간월자연휴양림,문화관광/명소,35.5670949,129.056041,,,,Y,N,N,N,N,N,N
간절곶,문화관광/명소,35.35976614,129.361543,,,,Y,N,N,Y,Y,N,N
간절곶스포츠파크,문화관광/명소,35.37130892,129.336479,,,,Y,N,N,N,Y,N,N
간현관광지,문화관광/명소,37.36520089,127.832401,ganhyeon.wonju.go.kr/?gid=ganhyeon,,"- 동절기 : 09:00 - 17:00
- 하절기 : 09:00 - 18:00
● 매표시간
- 동절기(11월~4월) 9:00 ~ 15:30
- 하절기 (5월~10월) 9:00 ~ 16:30",Y,Y,N,Y,Y,N,N
갈곡들소리보존회,전시/공연,34.91880668,126.680824,,,,N,N,N,N,N,N,N
갈골한과체험전시관,전시/공연,37.81231804,128.830532,www.galgol-sanja.com/shop/experience/experience_intro.php?&,매주 일요일,"3월-10월 10:00 - 18:00, 11월-2월 10:00 - 17:00 ",Y,N,N,N,N,N,N
갈라산산림욕장,문화관광/명소,36.50159719,128.752766,,연중무휴,상시개방,Y,N,N,N,Y,N,N
갈매동도당굿전수관,전시/공연,37.62619191,127.118556,www.gurimh.or.kr/bbs/content.php?co_id=culture_a,,,N,Y,N,N,N,N,N
갈모봉산림욕장,문화관광/명소,34.9700372,128.269889,www.goseong.go.kr/tour/board/view.goseong?boardId=BBS_0000168&menuCd=DOM_000000202003000000&startPage=1&dataSid=240927,,,Y,N,N,N,N,N,N
갈목해수욕장,문화관광/명소,36.07687947,126.632769,,,,Y,N,N,N,N,N,N
갈미도예공방,전시/공연,37.52130379,127.162508,,매주 일요일,10:00 - 18:00,Y,N,N,N,N,N,Y
갈산도예전시장,전시/공연,37.31984595,127.650144,,,,N,N,N,N,N,N,N
갈색마을녹색농촌체험장,문화관광/명소,35.36206081,127.987635,,,,N,N,N,N,N,N,N
갈음이해수욕장,문화관광/명소,36.67870342,126.156894,,,,Y,N,N,N,N,N,N
갈전운동장,레저/체육/공원,35.36682537,128.680561,,,,Y,N,N,N,N,N,N
갈천리마을관리휴양지,문화관광/명소,37.90904883,128.502883,,,,N,N,N,N,Y,N,N
갈현성,문화관광/명소,36.33446868,127.469319,,,,Y,N,N,N,Y,N,N
갈현체육공원,레저/체육/공원,37.57738695,126.730468,www.gyeyang.go.kr/open_content/main/part/park/playground_galhyeon01.jsp,"신정(1월1일), 설날, 추석",,Y,Y,N,Y,Y,Y,N
감곡CC,레저/체육/공원,37.12486857,127.696716,www.gamgokcc.com/,,,Y,N,N,N,N,Y,N
